date,month,place_name,round,race_id,morning_rank,post_rate_pct,rule,buy,points,stake_yen,payback_yen,payout_yen,trifecta,hit,is_manshu,is_over5000,heads,axes,keshi,tickets,checks
2025-04-14,2025-04,平和島,7,2025-04-140407,9,26.94,skip_rate_ng,0,0,0,0,2500,125,0,0,0,,,,,展示後38%未満:NG(26.94%)
2025-04-14,2025-04,三国,5,2025-04-141005,10,30.64,skip_rate_ng,0,0,0,0,11850,135,0,1,1,,,,,展示後38%未満:NG(30.64%)
2025-04-15,2025-04,戸田,3,2025-04-150203,1,40.0,core,1,12,1200,0,9480,142,0,0,1,"5,2","5,3",4.0,215 235 236 251 253 256 513 523 531 532 536 563,展示後40%以上:OK(40.00%)
2025-04-15,2025-04,平和島,3,2025-04-150403,2,35.05,skip_missing_exhibition,0,0,0,0,2290,143,0,0,0,,,,,展示/1周6艇未満
2025-04-15,2025-04,浜名湖,6,2025-04-150606,3,35.0,skip_rate_ng,0,0,0,0,11010,521,0,1,1,,,,,展示後38%未満:NG(35.00%)
2025-04-15,2025-04,蒲郡,4,2025-04-150704,4,29.34,skip_rate_ng,0,0,0,0,5370,254,0,0,1,,,,,展示後38%未満:NG(29.34%)
2025-04-15,2025-04,津,8,2025-04-150908,5,32.94,skip_missing_exhibition,0,0,0,0,8390,412,0,0,1,,,,,展示/1周6艇未満
2025-04-15,2025-04,戸田,1,2025-04-150201,6,31.74,skip_rate_ng,0,0,0,0,2800,324,0,0,0,,,,,展示後38%未満:NG(31.74%)
2025-04-15,2025-04,徳山,6,2025-04-151806,7,32.44,skip_rate_ng,0,0,0,0,3560,234,0,0,0,,,,,展示後38%未満:NG(32.44%)
2025-04-15,2025-04,蒲郡,1,2025-04-150701,8,32.94,skip_rate_ng,0,0,0,0,1660,425,0,0,0,,,,,展示後38%未満:NG(32.94%)
2025-04-15,2025-04,津,7,2025-04-150907,9,37.83,skip_missing_exhibition,0,0,0,0,6620,615,0,0,1,,,,,展示/1周6艇未満
